emissor,asset_class,grupo,tier,status,cobertura_oficial_cvm,tipo_match,confianca_match,companhia_casada,cnpj_casado,codigo_cvm_casado,identificador_usado,n_candidatos,candidatos,protocolos_no_ano,ultima_entrega,categorias,motivo_decisao
Gerdau,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,3,GERDAU S.A.; GERDAU SERV INFORMATICA SA GSI; METALURGICA GERDAU SA,0,,,3 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Hapvida,listada,listed_companies,2,filiante_cvm,sim,codigo_cvm,alta,HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.,05197443000138,24392,cod_cvm:24392,0,,72,2026-07-10,Assembleia; Aviso aos Acionistas; Calendário de Eventos Corporativos; Comunicado ao Mercado; Dados Econômico-Financeiros; Estatuto Social,Código CVM 24392 (cadastro_cvm(auto)) casado no IPE.
ISA Energia Brasil,listada,listed_companies,2,filiante_cvm,sim,codigo_cvm,alta,ISA ENERGIA BRASIL S.A.,02998611000104,18376,cod_cvm:18376,0,,135,2026-07-24,Assembleia; Aviso aos Acionistas; Aviso aos Debenturistas; Calendário de Eventos Corporativos; Comunicado ao Mercado; Dados Econômico-Financeiros,Código CVM 18376 (cadastro_cvm(auto)) casado no IPE.
Itaúsa,listada,listed_companies,2,filiante_cvm,sim,codigo_cvm,alta,ITAUSA S.A.,61532644000115,7617,cod_cvm:7617,0,,76,2026-07-08,Assembleia; Aviso aos Acionistas; Comunicado ao Mercado; Comunicação sobre Transação entre Partes Relacionadas; Dados Econômico-Financeiros; Estatuto Social,Código CVM 7617 (cadastro_cvm(auto)) casado no IPE.
JBS,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,4,JBS FOODS INTERNATIONAL DESIGNATED ACTIVITY COMPAN; JBS FOODS INTERNATIONAL DESIGNATED ACTIVITY COMPAN; JBS SA; JBS N.V.,0,,,4 companhias possíveis por nome/alias — identificador forte necessário para desambiguar.
Klabin,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,3,IKPC INDS KLABIN PAPEL CEL SA; KLABIN S.A.; KLABIN SEGALL S/A,0,,,3 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Lojas Renner,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,4,LOJAS RENNER SA; A J RENNER SA IND E PARTIP; RENNER HERRMANN SA; RENNER PARTICIPAÇÕES SA,0,,,4 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Motiva,listada,listed_companies,2,filiante_cvm,sim,codigo_cvm,alta,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,02846056000197,18821,cod_cvm:18821,0,,79,2026-07-22,Assembleia; Aviso aos Acionistas; Calendário de Eventos Corporativos; Comunicado ao Mercado; Dados Econômico-Financeiros; Estatuto Social,Código CVM 18821 (cadastro_cvm(auto)) casado no IPE.
Natura &Co,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,2,NATURA & CO HOLDING S.A.; NATURA COSMETICOS SA,0,,,2 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Porto,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,7,CERAMICA PORTO FERREIRA SA; PORTO DE VITÓRIA COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.; PORTO PONTA DO FELIX S/A; PORTO SAÚDE PARTICIPAÇÕES S.A.; PORTO SEGURO SA; PORTO SERVIÇO S.A,0,,,7 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Rumo,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,7,RUMO LOGÍSTICA OPERADORA MULTIMODAL S.A.; RUMO MALHA CENTRAL S.A.; RUMO MALHA NORTE S.A.; RUMO MALHA OESTE S.A.; RUMO MALHA PAULISTA S.A.; RUMO MALHA SUL S.A.,0,,,7 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Sabesp,listada,listed_companies,2,esperado_filiante_sem_protocolo_no_ano,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Santander Brasil,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,7,SANTANDER BRASIL ARRENDAMENTO MERCANTIL S.A.; BANCO SANTANDER (BRASIL) S.A.; BANCO SANTANDER NOROESTE SA; BANCO SANTANDER S.A.; SANTANDER LEASING S.A. ARREND MERC; SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL,0,,,7 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Smart Fit,listada,listed_companies,2,filiante_cvm,sim,codigo_cvm,alta,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,07594978000178,24260,cod_cvm:24260,0,,104,2026-07-10,Acordo de Acionistas; Assembleia; Aviso aos Acionistas; Aviso aos Debenturistas; Comunicado ao Mercado; Dados Econômico-Financeiros,Código CVM 24260 (cadastro_cvm(auto)) casado no IPE.
TIM Brasil,listada,listed_companies,2,filiante_cvm,sim,codigo_cvm,alta,TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.,02600854000134,27090,cod_cvm:27090,0,,20,2026-07-10,Assembleia; Aviso aos Debenturistas; Dados Econômico-Financeiros; Reunião da Administração; Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Código CVM 27090 (cadastro_cvm(auto)) casado no IPE.
Telefônica Brasil,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,2,TELEFÔNICA BRASIL S.A.; VIVO PARTICIPAÇÕES SA,0,,,2 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Ultrapar,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,2,ULTRAPAR PARTICIPAÇÕES SA; MELAMINA ULTRA S.A. INDÚSTRIA  QUÍMICA,0,,,2 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
