company,coverage_status,source,configured,attempted,technical_success,items_found,validated,note
Vibra Energia,ONLY_INFORMATIONAL_FOUND,REGULADOR_LOCAL,True,True,True,74,True,"identificador=cod_cvm:24295 (codigo_cvm); 74 documento(s) retornado(s), 74 aceito(s)."
Yura,PARTIAL_COVERAGE,GNEWS,True,False,False,0,False,Emissor fora do bucket desta execução (sem entrada em international_search_execution).
Yura,PARTIAL_COVERAGE,RI_RSS,False,False,False,0,False,
Yura,PARTIAL_COVERAGE,RI_NEWS,True,True,True,0,False,"Validação manual (pesquisa dirigida, não telemetria automática de execução do pipeline) — ver PERU_SOURCE_VALIDATION."
Yura,PARTIAL_COVERAGE,EDGAR,False,False,False,0,False,
Yura,PARTIAL_COVERAGE,REGULADOR_LOCAL,False,False,False,0,False,
Trupal,NO_VALIDATED_OFFICIAL_SOURCE,GNEWS,True,False,False,0,False,Emissor fora do bucket desta execução (sem entrada em international_search_execution).
Trupal,NO_VALIDATED_OFFICIAL_SOURCE,RI_RSS,False,False,False,0,False,
Trupal,NO_VALIDATED_OFFICIAL_SOURCE,RI_NEWS,False,True,False,0,False,"Validação manual (pesquisa dirigida, não telemetria automática de execução do pipeline) — ver PERU_SOURCE_VALIDATION."
Trupal,NO_VALIDATED_OFFICIAL_SOURCE,EDGAR,False,False,False,0,False,
Trupal,NO_VALIDATED_OFFICIAL_SOURCE,REGULADOR_LOCAL,False,False,False,0,False,
Coazucar,FALLBACK_ONLY,GNEWS,True,True,True,3,False,
Coazucar,FALLBACK_ONLY,RI_RSS,False,False,False,0,False,
Coazucar,FALLBACK_ONLY,RI_NEWS,True,True,True,0,False,"Validação manual (pesquisa dirigida, não telemetria automática de execução do pipeline) — ver PERU_SOURCE_VALIDATION."
Coazucar,FALLBACK_ONLY,EDGAR,False,False,False,0,False,
Coazucar,FALLBACK_ONLY,REGULADOR_LOCAL,False,False,False,0,False,
Yobel,COLLECTION_FAILURE,GNEWS,True,False,False,0,False,Emissor fora do bucket desta execução (sem entrada em international_search_execution).
Yobel,COLLECTION_FAILURE,RI_RSS,False,False,False,0,False,
Yobel,COLLECTION_FAILURE,RI_NEWS,True,True,False,0,False,"Validação manual (pesquisa dirigida, não telemetria automática de execução do pipeline) — ver PERU_SOURCE_VALIDATION."
Yobel,COLLECTION_FAILURE,EDGAR,False,False,False,0,False,
Yobel,COLLECTION_FAILURE,REGULADOR_LOCAL,False,False,False,0,False,
Casa Grande S.A.A.,NO_VALIDATED_OFFICIAL_SOURCE,GNEWS,True,False,False,0,False,Emissor fora do bucket desta execução (sem entrada em international_search_execution).
Casa Grande S.A.A.,NO_VALIDATED_OFFICIAL_SOURCE,RI_RSS,False,False,False,0,False,
Casa Grande S.A.A.,NO_VALIDATED_OFFICIAL_SOURCE,RI_NEWS,False,True,False,0,False,"Validação manual (pesquisa dirigida, não telemetria automática de execução do pipeline) — ver PERU_SOURCE_VALIDATION."
Casa Grande S.A.A.,NO_VALIDATED_OFFICIAL_SOURCE,EDGAR,False,False,False,0,False,
Casa Grande S.A.A.,NO_VALIDATED_OFFICIAL_SOURCE,REGULADOR_LOCAL,False,False,False,0,False,
Cartavio S.A.A.,NO_VALIDATED_OFFICIAL_SOURCE,GNEWS,True,False,False,0,False,Emissor fora do bucket desta execução (sem entrada em international_search_execution).
Cartavio S.A.A.,NO_VALIDATED_OFFICIAL_SOURCE,RI_RSS,False,False,False,0,False,
Cartavio S.A.A.,NO_VALIDATED_OFFICIAL_SOURCE,RI_NEWS,False,True,False,0,False,"Validação manual (pesquisa dirigida, não telemetria automática de execução do pipeline) — ver PERU_SOURCE_VALIDATION."
Cartavio S.A.A.,NO_VALIDATED_OFFICIAL_SOURCE,EDGAR,False,False,False,0,False,
Cartavio S.A.A.,NO_VALIDATED_OFFICIAL_SOURCE,REGULADOR_LOCAL,False,False,False,0,False,
Agroindustrias San Jacinto S.A.,NO_VALIDATED_OFFICIAL_SOURCE,GNEWS,True,False,False,0,False,Emissor fora do bucket desta execução (sem entrada em international_search_execution).
